"101-56300-316","Hickman County Senior Citizens","10,000",
"101-58900-316","Hickman County Chamber of Commerce","25,000",
"101-58900-316","Women Are Safe","5,000",
"101-58900-316","Pleasantville Volunteer Fire Dept.","10,000",
"101-58900-316","Davis House Child Advocacy Center","10,000",
"101-58900-316","East Hickman Volunteer Fire Dept.","30,000",
"101-58900-316","Helping Hands","5,000",
"101-58900-316","Hickman Humane Society","5,000",
"101-58900-316","Shady Grove Community Center","10,000",
"101-58900-316","Bernard Community Club, Inc.","5,000",
"101-54420-316","Hickman County Rescue Squad","35,000",
","","$150,000",
"KNash","Wayne Thomason",
"Keith Nash, District 4","Michael Wayne Thomasson, District 3",
"BOARD ACTION: 16 Aye","Absent 5 Nay",
"ADOPTED:","st ATTEST: COUNTY",
"Mark A. Bentley","OFFICE Ran",
"Mark Bentley, Chairman","Casey Dorton, County Clerk SEAL",
"Mark A. Bentley","COUNTY",
"Mark Bentley, County Mayor","",
"51100 County Commission","68,900",
"51210 Board of Equalization","3,500",
"51220 Beer Board","1,000",
"51300 County Mayor","155,972",
"51400 County Attorney","15,000",
"51500 Election Commission(Including Voter Registration)","183,972",
"51600 Register of Deeds","167,832",
"51720 Planning","186,064",
"51800 County Building","332,185",
"51810 Other Facilities,","428,000",
"51900 Other General Administration","121,349",
"51910 Preservation of Records","39,836",
"52100 Accounting and Budgeting","302,753",
"52300 Property Assessor's Office","278,237",
"52400 County Trustee's Office","220,386",
"52500 County Clerk's Office","298,764",
"53100 Circuit Court","312,344",
"53300 General Sessions Court","227,546",
"53310 General Sessions Judge","4,000",
"53400 Chancery Court","167,067",
"53700 Judicial Commissioners","57,892",
"53920 Courtroom Security","0",
"54110 Sheriff's Department","2,237,684",
"54160 Adm. Of Sexual Offender Registry","7,599",
"54210 Jail","1,354,380",
"54310 Fire Prevention and Control","15,550",
"54410 Civil Defense","163,158",
"54420 Rescue Squad","35,000",
"54610 County Coroner/Medical Examiner","56,000",
"55110 Local Health Center","50,601",
"55130 Ambulance/Emergency Medical Services","2,210,520",
"55170 Alcohol and Drug Programs","22,276",
"55190 Other Local Health Services","231,050",
"55900 Other Public Health Services","9,743",
"56300 Senior Citizens Assistance","10,000",
"56500 Libraries","240,951",
"57100 Agriculture Extension Services","62,123",
"57500 Soil Conservation","36,689",
"58110 Tourism","1,200",
"58120 Industrial Development","71,211",
"58300 Veterans Service","40,201",
"58400 Other Charges","667,000",
"58600 Employee Benefits","3,192,894",
"58900 Miscellaneous","185,920",
"99100 Transfers to Other Funds","100,000",
"Total General Fund","14,574,349",
"DRUG CONTROL FUND","",
"54110 Sheriff's Department","10,000",
"Total Drug Control Fund","10,000",
"ADEQUATE FACILITIES TAX FUND","",
"51730 Adequate Facilities-Trustee Commission","2,500",
"91130 Public Safety Projects","0",
"99100 Transfers to Other Funds","280,000",
"Total Adequate Facilities Fund","282,500",
"HIGHWAY/PUBLIC WORKS FUND","",
"61000 Administration","220,170",
"62000 Highway and Bridge Maintenance","2,085,986",
"63100 Operation and Maintenance of Equipment","548,852",
"65000 Other Charges","120,500",
"66000 Employee Benefits","937,210",
"68000 Capital Outlay","2,479,000",
"99100 Transfers to Other Funds","121,088",
"Total Highway/Public Works Fund","6,512,806",
"GENERAL PURPOSE SCHOOL FUND","",
"71000 Instruction","",
"71100 Regular Instruction Program","14,599,004",
"71150 Alternative Instruction Program","180,671",
"71200 Special Education Program","3,194,103",
"71300 Vocational Education Program","1,210,256",
"72000 Support Services","",
"72110 Attendance","175,970",
"72120 Health Services","386,008",
"72130 Other Student Support","1,020,144",
"72210 Regular Instruction Program","1,347,034",
"72215 Alternative. Instruction Program","0",
"72220 Special Education Program","121,505",
"72230 Vocational Education Program","112,411",
"72250 Technology","339,567",
"72290 Other Programs","35,000",
"72310 Board of Education","669,913",
"72320 Director of Schools","292,764",
"72410 Office of Principals","1,853,785",
"72510 Fiscal Services","45,000",
"72610 Operation of Plant","2,380,500",
"72620 Maintenance of Plant","1,185,022",
"72710 Transportation","2,372,457",
"72810 Central and Other","257,500",
"73000 Operation of Non-Instructional Services","",
"73100 Food Service","35,604",
"73300 Community Services","132,316",
"73400 Early Childhood Education","473,041",
"76000 Capital Outlay","",
"76100 Regular Capital Outlay","450,000",
"99100 Transfers Out","165,000",
"Total General Purpose School Fund","33,034,575",
"GENERAL CAFETERIA FUND","",
"73100 Food Services","2,175,200",
"Total Central Cafeteria Fund","2,175,200",
"GENERAL DEBT SERVICE FUND","",
"82110 Principal-General Government","535,096",
"82120 Principal-Highway and Streets","71,300",
"82130 Principal-Education","1,661,212",
"82210 Interest-General Government","220,822",
"82220 Interest-Highway and Streets","14,788",
"82230 Interest-Education","378,108",
"82310 Other-General Government","71,359",
"82330 Other-Education","61,416",
"99100 Transfers to Other Funds","0",
"Total General Debt Service Fund","3,014,101",
"55710 Sanitation Management","1,668,797",
"64000 Litter and Trash Collection","49,300",
"91140 Public Health and Welfare","56,000",
","1,774,097",
"Fund","Estimated Beginning Fund Balance 7/1/2021","Estimated Revenue","Transfers In","Estimated Total Available Funds","Estimated Expenditures","Transfers Out","Total Appropriations","Estimated Ending Fund Balance 6/30/2022",
"General","6,100,000","13,106,848","35,000","19,241,848","14,474,349","100,000","14,574,349","4,667,499",
"Drug Control","160,000","53,500","0","213,500","10,000","0","10,000","203,500",
"Adequate Facilities Tax","900,000","280,000","0","1,180,000","2,500","280,000","282,500","897,500",
"Highway/Public Works","1,900,000","6,179,904","0","8,079,904","6,391,718","121,088","6,512,806","1,567,098",
"General Debt Service","2,500,000","2,365,492","466,088","5,331,580","3,014,101","0","3,014,101","2,317,479",
"General Purpose School","9,372,445","29,412,518","25,000","38,809,963","32,869,575","165,000","33,034,575","5,775,388",
"Central Cafeteria","500,000","2,175,200","0","2,675,200","2,175,200","0","2,175,200","500,000",
"Solid Waste Disposal","953,311","1,674,560","0","2,627,871","1,774,097","0","1,774,097","853,774",
"Totals","22,385,756","55,248,022","526,088","78,159,866","60,711,540","666,088","61,377,628","16,782,238",
"General","1.99",
"Highway/Public Works","0.07",
"General Purpose Schools","0.72",
"General Debt Service","0.02",
"Total","2.80",
"Fund","Proposed Tax Rate","Amount of Tax Levy","7.00% Reserve for Delinquency","Estimated Collection of Taxes",
"General","$1.99","8,777,394","614,418","$8,162,976",
"Highway/Public Works","$0.07","308,753","21,613","287,140",
"General Purpose School","$0.72","3,175,741","222,302","$2,953,439",
"General Debt Service","$0.02","88,215","6,175","82,040",
"Total","$2.80","$12,350,103","864,508","$11,485,595",
"Account No. Description","Actual 2019-2020","Original Estimated 2020-2021","Estimated 2021-2022",
"ESTIMATED REVENUES","","","",
"40000 LOCAL TAXES","","","",
"40100 County Property Taxes","","","",
"40110 Current Property Taxes","7,942,460","7,690,527","8,162,976",
"40120 Trustees Collection Prior Year","196,297","190,000","190,000",
"40125 Trustees Collection-Bankruptcy","1,822","0","1,000",
"40130 Clerk & Master Prior Years","68,622","100,000","100,000",
"40140 Interest and Penalty","41,369","40,000","40,000",
"40161 Payments in Lieu of Taxes TVA","8,871","8,500","8,500",
"40162 Payments in Lieu of Taxes-Loc Utilities","28,658","28,000","29,000",
