"'101-56300-316","'Hickman County Senior Citizens","'$ 10,000",
"'101-58900-316","'Hickman County Chamber of Commerce","'$ 25,000",
"'101-58900-316","'Women Are Safe","'$ 5,000",
"'101-58900-316","'Pleasantville Volunteer Fire Dept.","'$ 10,000",
"'101-58900-316","'Davis House Child Advocacy Center","'$ 10,000",
"'101-58900-316","'East Hickman Volunteer Fire Dept.","'$ 30,000",
"'101-58900-316","'Helping Hands","'$ 5,000",
"'101-58900-316","'Hickman Humane Society","'$ 5,000",
"'101-58900-316","'Shady Grove Community Center","'$ 10,000",
"'101-58900-316","'Bernard Community Club, Inc.","'$ 5,000",
"'101-54420-316","'Hickman County Rescue Squad","'$ 35,000",
"'","'","'$150,000",
,,

'Confidence Scores % (Table Cell)
""'92.33398438","'95.60546875","'88.67187500",
"'87.50000000","'90.62500000","'84.03320313",
"'88.57421875","'91.74804688","'85.05859375",
"'89.30664063","'92.48046875","'85.79101563",
"'87.30468750","'90.42968750","'83.83789063",
"'88.23242188","'91.40625000","'84.76562500",
"'87.30468750","'90.42968750","'83.83789063",
"'88.42773438","'91.60156250","'84.91210938",
"'86.52343750","'89.59960938","'83.10546875",
"'88.13476563","'91.25976563","'84.61914063",
"'71.92382813","'74.46289063","'69.09179688",
"'38.45214844","'38.45214844","'65.62500000",
