"'Account No. Description","'Actual 2019-2020","'Original Estimate 2020-2021","'Estimate 2021-2022",
"'189 Other Salaries and Wages","'74,520","'80,760","'82,560",
"'201 Social Security","'43,608","'49,974","'51,451",
"'204 State Retirement","'62,668","'67,089","'74,183",
"'207 Medical Insurance","'63,050","'65,000","'66,950",
"'322 Evaluating and Testing","'2,925","'40,000","'40,000",
"'344 Payments to Schools - Other","'66,440","'80,000","'80,000",
"'355 Travel","'2,740","'3,000","'3,000",
"'399 Other Contracted Services","'17,464","'23,000","'25,000",
"'499 Other Supplies and Materials","'2,854","'4,000","'4,000",
"'524 Inservice","'0","'3,000","'3,000",
"'Total Other Student Support","'864,326","'988,313","'1,020,144",
"'72210 Regular Instruction Program","'","'","'",
"'105 Supervisor/Director","'72,450","'78,820","'71,970",
"'129 Librarians","'339,180","'420,000","'430,000",
"'161 Secretary(s)","'185,931","'182,000","'200,000",
"'162 Clerical Personnel","'181,739","'210,000","'200,000",
"'188 Bonus Payments","'24,000","'0","'0",
"'189 Other Salaries and Wages","'0","'20,000","'20,000",
"'201 Social Security","'56,188","'69,678","'70,531",
"'204 State Retirement","'97,330","'107,300","'101,693",
"'207 Medical Insurance","'144,332","'158,000","'162,740",
"'336 Maint and Repair Services - Equipment","'0","'2,500","'2,500",
"'355 Travel","'950","'5,000","'5,000",
"'399 Other Contracted Services","'7,827","'12,000","'15,000",
"'432 Library Books and Media","'4,000","'4,000","'4,000",
"'429 Instructional Supplies and Materials","'0","'0","'0",
"'499 Other Supplies and Materials","'225","'3,600","'3,600",
"'524 In-Service/Staff Development","'385","'2,000","'2,000",
"'722 Regular Instruction Equipment","'6,855","'7,500","'8,000",
"'790 Other Equipment","'30,108","'10,000","'50,000",
"'Total Regular Instruction Program","'1,151,500","'1,292,398","'1,347,034",
"'72215 Alternative Instruction Program","'","'","'",
"'355 Travel","'0","'0","'0",
"'Total Alternative Instruction Program","'0","'0","'0",
"'72220 Special Education Program","'","'","'",
"'105 Supervisor/Director","'72,294","'75,035","'76,691",
"'189 Other Salaries and Wages","'4,594","'5,000","'5,000",
"'196 In-Service Training","'2,822","'3,500","'3,500",
"'201 Social Security","'5,650","'6,390","'6,517",
"'204 State Retirement","'8,450","'8,877","'9,397",
"'207 Medical Insurance","'7,524","'7,900","'7,900",
"'336 Maint and Repair Services - Equipment","'4,450","'5,000","'5,000",
"'355 Travel","'6,957","'7,500","'7,500",
"'Total Special Education Program","'112,741","'119,202","'121,505",
,,,

'Confidence Scores % (Table Cell)
""'51.61132813","'94.23828125","'94.43359375","'96.72851563",
"'47.04589844","'85.83984375","'86.03515625","'88.08593750",
"'48.12011719","'87.84179688","'87.98828125","'90.08789063",
"'47.87597656","'87.40234375","'87.59765625","'89.69726563",
"'48.43750000","'88.42773438","'88.62304688","'90.72265625",
"'50.04882813","'91.30859375","'91.50390625","'93.70117188",
"'47.26562500","'86.27929688","'86.47460938","'88.52539063",
"'48.90136719","'89.25781250","'89.45312500","'91.60156250",
"'50.04882813","'91.30859375","'91.50390625","'93.70117188",
"'48.07128906","'87.74414063","'87.89062500","'90.03906250",
"'46.24023438","'84.42382813","'84.57031250","'86.62109375",
"'51.51367188","'94.04296875","'94.23828125","'96.53320313",
"'61.03515625","'61.03515625","'61.03515625","'61.03515625",
"'43.31054688","'79.05273438","'79.24804688","'81.15234375",
"'48.75488281","'88.96484375","'89.16015625","'91.30859375",
"'49.90234375","'91.06445313","'91.25976563","'93.45703125",
"'48.21777344","'87.98828125","'88.18359375","'90.28320313",
"'49.58496094","'90.52734375","'90.72265625","'92.87109375",
"'48.53515625","'88.62304688","'88.76953125","'90.91796875",
"'47.94921875","'87.54882813","'87.69531250","'89.84375000",
"'48.99902344","'89.45312500","'89.64843750","'91.79687500",
"'48.87695313","'89.20898438","'89.40429688","'91.55273438",
"'47.92480469","'87.50000000","'87.69531250","'89.79492188",
"'49.14550781","'89.69726563","'89.84375000","'92.04101563",
"'47.75390625","'87.15820313","'87.35351563","'89.45312500",
"'47.50976563","'86.71875000","'86.86523438","'88.96484375",
"'49.73144531","'90.77148438","'90.91796875","'93.11523438",
"'47.14355469","'86.03515625","'86.23046875","'88.28125000",
"'46.72851563","'85.30273438","'85.49804688","'87.54882813",
"'49.73144531","'90.77148438","'90.91796875","'93.11523438",
"'43.94531250","'80.22460938","'80.37109375","'82.32421875",
"'51.02539063","'93.11523438","'93.31054688","'95.55664063",
"'54.10156250","'54.10156250","'54.10156250","'54.10156250",
"'29.88281250","'54.54101563","'54.63867188","'55.95703125",
"'51.02539063","'93.11523438","'93.31054688","'95.55664063",
"'61.32812500","'61.32812500","'61.32812500","'61.32812500",
"'41.11328125","'75.04882813","'75.19531250","'77.00195313",
"'48.90136719","'89.25781250","'89.45312500","'91.60156250",
"'47.50976563","'86.71875000","'86.86523438","'88.96484375",
"'49.63378906","'90.62500000","'90.82031250","'92.96875000",
"'47.85156250","'87.35351563","'87.54882813","'89.64843750",
"'48.85253906","'89.16015625","'89.35546875","'91.50390625",
"'49.97558594","'91.21093750","'91.40625000","'93.60351563",
"'44.72656250","'81.64062500","'81.78710938","'83.74023438",
"'51.66015625","'94.28710938","'94.48242188","'96.72851563",
