"'Account No","'Description","'Actual 2019-2020","'Estimated 2020-2021","'Estimated 2021-2022",
"'","'TOTAL ESTIMATE OTHER SOURCES","'0","'0","'0",
"'","'TOTAL ESTIMATED REVENUE AND OTHE","'2,122,180","'2,174,300","'2,175,200",
"'","'ESTIMATED EXPENDITURES","'","'","'",
"'73000","'OPERATION OF NON-INSTRUCTIONAL","'SERVICES","'","'",
"'73100","'Food Services","'","'","'",
"'105","'Supervisor/Director","'32,667","'37,000","'37,000",
"'119","'Accountants/Bookkeeper","'118,503","'122,000","'122,000",
"'165","'Cafeteria Personnel","'556,998","'525,000","'525,000",
"'201","'Social Security","'53,232","'52,326","'50,000",
"'204","'State Retirement","'66,920","'75,445","'73,200",
"'207","'Medical Insurance","'30,000","'45,000","'45,000",
"'210","'Unemployment Compensation","'0","'6,500","'4,000",
"'307","'Communication","'2,722","'4,000","'3,000",
"'336","'Maint & Repair Services - Equipment","'46,092","'50,000","'50,000",
"'354","'Transportation - Other than Students","'2,319","'6,000","'5,000",
"'355","'Travel","'3,931","'2,000","'3,000",
"'399","'Other Contracted Services","'47,378","'55,000","'55,000",
"'422","'Food Supplies","'993,095","'1,040,000","'1,040,000",
"'452","'Utilities","'1,653","'4,000","'3,000",
"'469","'USDA-Commodities","'69,622","'0","'0",
"'499","'Other Supplies and Materials","'76,924","'100,000","'100,000",
"'599","'Other Charges","'19,916","'15,000","'20,000",
"'710","'Food Service Equipment","'9,999","'35,000","'40,000",
"'","'Total Food Service","'2,131,971","'2,174,271","'2,175,200",
"'","'Total Estimated Expenditures","'2,131,971","'2,174,271","'2,175,200",
"'","'Excess of Estimated Revenues Over","'","'","'",
"'","'(Under) Estimated Expenditures","'(9,791)","'29","'0",
"'","'Estimated Beginning Fund Balance July 1","'467,508","'457,717","'500,000",
"'","'Estimated Ending Fund Balance June 30","'457,717","'457,746","'500,000",
,,,,

'Confidence Scores % (Table Cell)
""'37.08496094","'42.35839844","'88.18359375","'93.11523438","'94.97070313",
"'37.06054688","'42.33398438","'88.13476563","'93.06640625","'94.92187500",
"'41.30859375","'41.30859375","'41.30859375","'90.42968750","'92.23632813",
"'62.06054688","'62.06054688","'62.06054688","'62.06054688","'62.06054688",
"'41.87011719","'41.87011719","'41.87011719","'41.87011719","'41.87011719",
"'39.69726563","'39.69726563","'39.69726563","'39.69726563","'39.69726563",
"'34.98535156","'39.96582031","'83.15429688","'87.84179688","'89.59960938",
"'35.30273438","'40.33203125","'83.98437500","'88.67187500","'90.42968750",
"'33.12988281","'37.84179688","'78.80859375","'83.20312500","'84.86328125",
"'35.93750000","'41.04003906","'85.44921875","'90.23437500","'92.04101563",
"'35.64453125","'40.72265625","'84.76562500","'89.50195313","'91.30859375",
"'35.40039063","'40.42968750","'84.17968750","'88.91601563","'90.67382813",
"'35.08300781","'40.08789063","'83.44726563","'88.13476563","'89.89257813",
"'34.17968750","'39.06250000","'81.29882813","'85.83984375","'87.54882813",
"'40.06347656","'40.06347656","'81.73828125","'86.32812500","'88.03710938",
"'34.37500000","'39.25781250","'81.73828125","'86.32812500","'88.03710938",
"'34.35058594","'39.23339844","'81.68945313","'86.27929688","'87.98828125",
"'35.49804688","'40.55175781","'84.42382813","'89.11132813","'90.91796875",
"'35.35156250","'40.38085938","'84.03320313","'88.76953125","'90.52734375",
"'35.00976563","'39.99023438","'83.25195313","'87.93945313","'89.69726563",
"'40.45410156","'40.45410156","'82.61718750","'87.25585938","'88.96484375",
"'39.18457031","'39.18457031","'81.78710938","'86.37695313","'88.08593750",
"'34.03320313","'38.86718750","'80.90820313","'85.44921875","'87.15820313",
"'34.39941406","'39.30664063","'81.83593750","'86.37695313","'88.13476563",
"'41.96777344","'41.96777344","'87.79296875","'92.67578125","'94.53125000",
"'41.47949219","'41.47949219","'86.96289063","'91.84570313","'93.70117188",
"'45.23925781","'45.23925781","'45.23925781","'45.23925781","'45.23925781",
"'36.62109375","'36.62109375","'54.10156250","'57.12890625","'58.30078125",
"'40.03906250","'40.03906250","'83.78906250","'88.47656250","'90.28320313",
"'38.35449219","'38.35449219","'87.15820313","'92.04101563","'93.89648438",
