"'Fund","'Estimated Beginning Fund Balance 7/1/2022","'Estimated Revenue","'Transfers In","'Estimated Total Available Funds","'Estimated Expenditures","'Transfers Out","'Total Appropriations","'Estimated Ending Fund Balance 6/30/2023",
"'General","'6,500,000","'13,554,244","'35,000","'20,089,244","'15,863,678","'100,000","'15,963,678","'4,125,566",
"'Drug Control","'108,000","'53,500","'0","'161,500","'85,000","'0","'85,000","'76,500",
"'Adequate Facilities Tax","'880,000","'260,000","'0","'1,140,000","'152,600","'280,000","'432,600","'707,400",
"'American Rescue Plan(SLFRF)","'2,445,647","'2,446,127","'0","'4,891,774","'595,000","'0","'595,000","'4,296,774",
"'Highway/Public Works","'1,600,000","'7,245,414","'0","'8,845,414","'7,099,864","'143,655","'7,243,519","'1,601,895",
"'General Debt Service","'3,200,000","'2,509,737","'488,655","'6,198,392","'3,101,565","'0","'3,101,565","'3,096,827",
"'General Purpose School","'11,658,580","'30,012,559","'25,000","'41,696,139","'34,751,219","'0","'34,751,219","'6,944,920",
"'Central Cafeteria","'507,546","'2,336,000","'0","'2,843,546","'2,336,000","'0","'2,336,000","'507,546",
"'Solid Waste Disposal","'631,164","'1,729,560","'0","'2,360,724","'1,876,544","'0","'1,876,544","'484,180",
"'Totals","'27,530,937","'60,147,141","'548,655","'88,226,733","'65,861,470","'523,655","'66,385,125","'21,841,608",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'96.53320313","'92.43164063","'94.53125000","'93.45703125","'95.55664063","'95.45898438","'89.94140625","'93.89648438","'93.75000000",
"'87.54882813","'83.88671875","'85.74218750","'84.81445313","'86.66992188","'86.57226563","'81.59179688","'85.20507813","'85.05859375",
"'89.20898438","'85.44921875","'87.40234375","'86.42578125","'88.33007813","'88.23242188","'83.15429688","'86.81640625","'86.66992188",
"'87.74414063","'84.03320313","'85.93750000","'84.96093750","'86.86523438","'86.76757813","'81.78710938","'85.35156250","'85.25390625",
"'88.57421875","'84.81445313","'86.71875000","'85.74218750","'87.64648438","'87.59765625","'82.51953125","'86.18164063","'86.03515625",
"'90.03906250","'86.23046875","'88.18359375","'87.20703125","'89.11132813","'89.06250000","'83.88671875","'87.59765625","'87.45117188",
"'87.59765625","'83.93554688","'85.79101563","'84.81445313","'86.71875000","'86.62109375","'81.64062500","'85.25390625","'85.10742188",
"'88.76953125","'85.05859375","'86.96289063","'85.98632813","'87.89062500","'87.79296875","'82.76367188","'86.37695313","'86.27929688",
"'84.91210938","'81.34765625","'83.20312500","'82.27539063","'84.08203125","'83.98437500","'79.15039063","'82.61718750","'82.51953125",
"'87.45117188","'83.78906250","'85.64453125","'84.71679688","'86.57226563","'86.47460938","'81.49414063","'85.10742188","'84.96093750",
"'95.89843750","'91.84570313","'93.94531250","'92.87109375","'94.92187500","'94.82421875","'89.35546875","'93.31054688","'93.16406250",
