"'Statement of Proposed Operations for the Fiscal Year Ending June 30, 2023 Account No. Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'ESTIMATED REVENUES","'","'","'",
"'44000 OTHER LOCAL REVENUES","'","'","'",
"'44100 Recurring Items","'","'","'",
"'44110 Investment Income","'0","'0","'480",
"'Total Recurring Items","'0","'0","'480",
"'47000 FEDERAL GOVERNMENT","'","'","'",
"'47600 Direct Federal Revenue","'","'","'",
"'47902 American Rescue Plan Act Grant#7(SLFRF)","'0","'0","'2,445,647",
"'Total Direct Federal Revenue","'0","'0","'2,445,647",
"'Total Estimated Revenue","'0","'0","'2,446,127",
"'ESTIMATED EXPENDITURES","'","'","'",
"'58837 AMERICAN RESCUE PLAN ACT GRANT#7","'","'","'",
"'188 Bonus Payments","'0","'0","'550,000",
"'201 Social Security","'0","'0","'20,000",
"'204 Pensions","'0","'0","'25,000",
"'Total Estimated Expenditures","'0","'0","'595,000",
"'Excess of Estimated Revenue Over","'","'","'",
"'(Under) Estimated Expenditures","'0","'0","'1,851,127",
"'Estimated Beginning Fund Balance July 1","'0","'0","'2,445,647",
"'Estimated Ending Fund Balance June 30","'0","'0","'4,296,774",
,,,

'Confidence Scores % (Table Cell)
""'40.91796875","'75.14648438","'76.07421875","'69.09179688",
"'73.19335938","'73.19335938","'73.19335938","'73.19335938",
"'47.85156250","'47.85156250","'47.85156250","'47.85156250",
"'42.52929688","'42.52929688","'42.52929688","'42.52929688",
"'79.88281250","'74.80468750","'72.99804688","'77.63671875",
"'94.33593750","'88.33007813","'86.18164063","'91.65039063",
"'54.29687500","'54.29687500","'54.29687500","'54.29687500",
"'43.87207031","'43.87207031","'43.87207031","'43.87207031",
"'78.32031250","'73.33984375","'71.53320313","'76.12304688",
"'94.28710938","'88.28125000","'86.13281250","'91.60156250",
"'93.60351563","'87.64648438","'85.54687500","'90.96679688",
"'74.46289063","'74.46289063","'74.46289063","'74.46289063",
"'58.20312500","'58.20312500","'58.20312500","'58.20312500",
"'77.49023438","'72.55859375","'70.80078125","'75.29296875",
"'81.68945313","'76.46484375","'74.60937500","'79.34570313",
"'78.95507813","'73.92578125","'72.11914063","'76.70898438",
"'94.77539063","'88.76953125","'86.62109375","'92.08984375",
"'55.71289063","'55.71289063","'55.71289063","'55.71289063",
"'65.72265625","'61.52343750","'60.05859375","'63.86718750",
"'88.72070313","'83.05664063","'81.05468750","'86.18164063",
"'95.21484375","'89.16015625","'87.01171875","'92.52929688",
