"'Account No.","'Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'","'Total Other Local Revenues","'686,184","'59,000","'73,000",
"'","'Total Local Revenue","'6,454,055","'5,331,939","'5,595,980",
"'46000","'State of Tennessee","'","'","'",
"'46175","'On-Behalf Contributions for OPEB","'63,957","'0","'35,000",
"'46500","'State Education Funds","'","'","'",
"'46511","'Basic Education Program","'22,435,322","'22,770,000","'23,031,000",
"'46515","'Early Childhood Education","'416,355","'417,796","'417,796",
"'46520","'School Food Service","'20,886","'22,000","'22,000",
"'46550","'Driver Education","'2,030","'10,000","'5,000",
"'46590","'Other State Education Funds","'475,087","'240,000","'240,000",
"'46591","'Coordinated School Health","'90,000","'90,000","'90,000",
"'46594","'Family Resource Centers","'59,223","'59,223","'59,223",
"'46610","'Career Ladder Program","'51,545","'50,000","'45,000",
"'46640","'Vocational Equipment","'0","'0","'0",
"'46800","'Other State Revenues","'","'","'",
"'46851","'State Revenue Sharing - TVA","'220,483","'240,000","'240,000",
"'46980","'Other State Grants","'0","'0","'0",
"'46981","'Safe Schools","'86,386","'86,560","'86,560",
"'46990","'Other State Revenues","'5,046","'15,000","'15,000",
"'","'Total State of Tennessee","'23,926,320","'24,000,579","'24,286,579",
"'47000","'Federal Government","'","'","'",
"'47100","'Federal Through State","'","'","'",
"'47304","'COVID-19-Grant # 4","'165,814","'0","'0",
"'47590","'Other Federal Through State","'100,375","'0","'0",
"'47600","'Direct Federal Revenue","'","'","'",
"'47640","'ROTC Reimbursement","'76,591","'70,000","'70,000",
"'","'Total Federal Government","'342,780","'70,000","'70,000",
"'48000","'Other Governments and Citizens Groups","'","'","'",
"'48990","'Other","'26,900","'0","'50,000",
"'48990-GG","'Other","'0","'0","'0",
"'","'Total Other Governments and Citizens Groups","'26,900","'0","'50,000",
"'","'Total Estimated Revenues","'30,750,055","'29,402,518","'30,002,559",
"'49000","'OTHER SOURCES (NON-REVENUE)","'","'","'",
"'49700","'Insurance Recovery","'97,337","'10,000","'10,000",
"'49800","'Transfers In","'22,336","'25,000","'25,000",
"'","'Total Other Sources","'119,673","'35,000","'35,000",
"'","'Total Estimated Revenues & Other Sources","'30,869,728","'29,437,518","'30,037,559",
,,,,

'Confidence Scores % (Table Cell)
""'54.54101563","'80.95703125","'93.84765625","'94.28710938","'95.75195313",
"'53.95507813","'80.02929688","'92.82226563","'93.21289063","'94.67773438",
"'53.80859375","'79.88281250","'92.62695313","'93.01757813","'94.48242188",
"'47.65625000","'47.65625000","'47.65625000","'47.65625000","'47.65625000",
"'45.94726563","'68.16406250","'79.05273438","'79.39453125","'80.61523438",
"'40.16113281","'59.57031250","'69.09179688","'69.38476563","'70.45898438",
"'53.36914063","'79.19921875","'91.84570313","'92.23632813","'93.65234375",
"'51.66015625","'76.66015625","'88.86718750","'89.30664063","'90.67382813",
"'52.05078125","'77.24609375","'89.55078125","'89.94140625","'91.30859375",
"'51.70898438","'76.70898438","'88.91601563","'89.35546875","'90.72265625",
"'51.80664063","'76.90429688","'89.11132813","'89.55078125","'90.91796875",
"'51.41601563","'76.26953125","'88.42773438","'88.81835938","'90.18554688",
"'51.22070313","'75.97656250","'88.08593750","'88.52539063","'89.84375000",
"'52.29492188","'77.63671875","'89.99023438","'90.42968750","'91.79687500",
"'53.56445313","'79.49218750","'92.13867188","'92.57812500","'93.99414063",
"'38.91601563","'57.76367188","'66.94335938","'67.23632813","'68.26171875",
"'52.58789063","'78.02734375","'90.47851563","'90.86914063","'92.28515625",
"'50.58593750","'75.09765625","'87.01171875","'87.45117188","'88.76953125",
"'51.22070313","'76.02539063","'88.13476563","'88.57421875","'89.89257813",
"'49.85351563","'73.97460938","'85.79101563","'86.18164063","'87.50000000",
"'54.34570313","'80.66406250","'93.50585938","'93.94531250","'95.36132813",
"'42.62695313","'42.62695313","'42.62695313","'42.62695313","'42.62695313",
"'34.20410156","'50.78125000","'58.83789063","'59.13085938","'60.00976563",
"'51.17187500","'75.97656250","'88.03710938","'88.47656250","'89.79492188",
"'52.73437500","'78.22265625","'90.72265625","'91.11328125","'92.52929688",
"'37.50000000","'55.66406250","'64.50195313","'64.79492188","'65.82031250",
"'48.51074219","'71.97265625","'83.44726563","'83.83789063","'85.10742188",
"'54.05273438","'80.27343750","'93.01757813","'93.45703125","'94.87304688",
"'49.51171875","'49.51171875","'49.51171875","'49.51171875","'49.51171875",
"'40.99121094","'60.83984375","'70.50781250","'70.84960938","'71.92382813",
"'49.04785156","'72.80273438","'84.37500000","'84.76562500","'86.08398438",
"'54.05273438","'80.27343750","'93.01757813","'93.45703125","'94.87304688",
"'53.56445313","'79.49218750","'92.13867188","'92.57812500","'93.99414063",
"'48.82812500","'48.82812500","'48.82812500","'48.82812500","'48.82812500",
"'42.50488281","'63.08593750","'73.14453125","'73.43750000","'74.56054688",
"'49.58496094","'73.58398438","'85.30273438","'85.69335938","'87.01171875",
"'53.95507813","'80.07812500","'92.82226563","'93.26171875","'94.67773438",
"'54.05273438","'80.27343750","'93.01757813","'93.45703125","'94.87304688",
