"'Account No","'Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'","'ESTIMATED REVENUES","'","'","'",
"'43000","'CHARGES FOR CURRENT SERVICES","'","'","'",
"'43500","'Education Charges","'","'","'",
"'43521","'Lunch Payments Children","'13,127","'0","'603,000",
"'43522","'Lunch Payments Adults","'33,692","'75,000","'75,000",
"'43523","'Income from Breakfast","'6,519","'10,000","'55,000",
"'43525","'A la Carte Sales","'118,216","'175,000","'175,000",
"'","'Total Charges for Current Services","'171,554","'260,000","'908,000",
"'44000","'OTHER LOCAL REVENUES","'","'","'",
"'44100","'Recurring Items","'","'","'",
"'44110","'Investment Income","'171","'200","'0",
"'44500","'Non-Recurring Items","'","'","'",
"'44170","'Miscellaneous Refunds","'0","'0","'0",
"'44530","'Sale of Equipment","'0","'0","'0",
"'","'Total Other Local Revenues","'171","'200","'0",
"'46000","'STATE OF TENNESSEE","'","'","'",
"'46800","'Other State Revenue","'","'","'",
"'46980","'Other State Grants","'0","'0","'0",
"'46990","'Other State Revenue","'0","'0","'0",
"'","'Total State of Tennessee","'0","'0","'0",
"'47000","'FEDERAL GOVERNMENT","'","'","'",
"'47100","'Federal Through State","'","'","'",
"'47111","'USDA School Lunch Program","'1,151,233","'1,340,000","'873,000",
"'47112","'USDA-Commodities","'90,330","'0","'0",
"'47113","'Breakfast","'426,489","'560,000","'540,000",
"'47114","'USDA-Other","'10,879","'15,000","'15,000",
"'47115","'USDA Food Service Equipment Grant","'0","'0","'0",
"'47301","'COVID-19 Grant #1","'0","'0","'0",
"'","'Total Federal Government","'1,678,931","'1,915,000","'1,428,000",
"'48000","'OTHER GOVERNMENTS AND CITIZENS","'GROUPS","'","'",
"'48100","'Other Governments","'","'","'",
"'48990","'Other","'0","'0","'0",
"'","'Total Other Governments and Citizens Grou","'0","'0","'0",
"'","'TOTAL ESTIMATED REVENUE","'1,850,656","'2,175,200","'2,336,000",
,,,,

'Confidence Scores % (Table Cell)
""'31.78710938","'39.52636719","'88.28125000","'91.40625000","'92.62695313",
"'75.83007813","'75.83007813","'75.83007813","'75.83007813","'75.83007813",
"'47.85156250","'47.85156250","'47.85156250","'47.85156250","'47.85156250",
"'46.48437500","'46.48437500","'46.48437500","'46.48437500","'46.48437500",
"'45.60546875","'45.60546875","'83.34960938","'86.27929688","'87.45117188",
"'46.97265625","'46.97265625","'83.05664063","'85.98632813","'87.15820313",
"'47.75390625","'47.75390625","'81.73828125","'84.61914063","'85.79101563",
"'50.09765625","'50.09765625","'82.32421875","'85.25390625","'86.42578125",
"'52.24609375","'52.24609375","'87.98828125","'91.11328125","'92.33398438",
"'52.34375000","'52.34375000","'52.34375000","'52.34375000","'52.34375000",
"'42.16308594","'42.16308594","'42.16308594","'42.16308594","'42.16308594",
"'46.58203125","'46.58203125","'83.59375000","'86.57226563","'87.74414063",
"'38.45214844","'38.45214844","'38.45214844","'70.06835938","'71.04492188",
"'44.45800781","'44.45800781","'83.20312500","'86.18164063","'87.35351563",
"'51.75781250","'51.75781250","'81.44531250","'84.32617188","'85.49804688",
"'54.10156250","'54.10156250","'87.84179688","'90.91796875","'92.18750000",
"'54.68750000","'54.68750000","'54.68750000","'54.68750000","'54.68750000",
"'42.91992188","'42.91992188","'42.91992188","'42.91992188","'42.91992188",
"'46.28906250","'46.28906250","'80.85937500","'83.69140625","'84.86328125",
"'51.17187500","'51.17187500","'79.24804688","'82.03125000","'83.15429688",
"'52.53906250","'52.53906250","'87.45117188","'90.52734375","'91.74804688",
"'51.07421875","'51.07421875","'51.07421875","'51.07421875","'51.07421875",
"'44.55566406","'44.55566406","'44.55566406","'44.55566406","'44.55566406",
"'49.41406250","'49.41406250","'78.61328125","'81.39648438","'82.51953125",
"'50.00000000","'50.00000000","'78.51562500","'81.29882813","'82.42187500",
"'51.36718750","'51.36718750","'82.17773438","'85.05859375","'86.23046875",
"'56.88476563","'56.88476563","'83.10546875","'86.03515625","'87.20703125",
"'79.63867188","'79.63867188","'82.91015625","'85.83984375","'87.01171875",
"'80.02929688","'80.02929688","'80.66406250","'83.54492188","'84.66796875",
"'89.64843750","'89.64843750","'87.74414063","'90.82031250","'92.08984375",
"'63.52539063","'63.52539063","'63.52539063","'63.52539063","'63.52539063",
"'49.60937500","'49.60937500","'49.60937500","'49.60937500","'49.60937500",
"'76.22070313","'76.22070313","'76.36718750","'79.05273438","'80.12695313",
"'89.40429688","'89.40429688","'86.81640625","'89.89257813","'91.11328125",
"'93.31054688","'93.31054688","'87.69531250","'90.77148438","'92.04101563",
