"1","2023","Hickman County Senior Citizens","10,000",
"2","2023","Hickman County Chamber of Commerce","25,000",
"3","2023","Women Are Safe","5,000",
"4","2023","Davis House Child Advocacy Center","10,000",
"5","2023","Hickman Humane Society","5,000",
"6","2023","Shady Grove Community Center","5,000",
"7","2023","Bernard Community Club, Inc.","5,000",
"8","2023","Total","$65,000.00",
"9","2023","51100 County Commission","53,600",
"10","2023","51210 Board of Equalization","3,500",
"11","2023","51220 Beer Board","1,000",
"12","2023","51300 County Mayor","153,031",
"13","2023","51400 County Attorney","40,000",
"14","2023","51500 Election Commission(Including Voter Registration)","725,837",
"15","2023","51600 Register of Deeds","186,602",
"16","2023","51720 Planning","227,837",
"17","2023","51800 County Building","448,180",
"18","2023","51810 Other Facilities","429,000",
"19","2023","51900 Other General Administration","127,325",
"20","2023","51910 Preservation of Records","43,238",
"21","2023","52100 Accounting and Budgeting","324,370",
"22","2023","52300 Property Assessor's Office","308,662",
"23","2023","52400 County Trustee's Office","248,587",
"24","2023","52500 County Clerk's Office","325,026",
"25","2023","53100 Circuit Court","357,593",
"26","2023","53300 General Sessions Court","243,458",
"27","2023","53310 General Sessions Judge","4,000",
"28","2023","53400 Chancery Court","195,320",
"29","2023","53700 Judicial Commissioners","63,211",
"30","2023","53920 Courtroom Security","0",
"31","2023","54110 Sheriff's Department","2,903,020",
"32","2023","54160 Adm. Of Sexual Offender Registry","7,500",
"33","2023","54210 Jail","1,763,929",
"34","2023","54310 Fire Prevention and Control","20,500",
"35","2023","54320 Rural Fire Protection","150,000",
"36","2023","54410 Civil Defense","218,133",
"37","2023","54610 County Coroner/Medical Examiner","58,000",
"38","2023","55110 Local Health Center","50,601",
"39","2023","55130 Ambulance/Emergency Medical Services","2,696,608",
"40","2023","55170 Alcohol and Drug Programs","22,886",
"41","2023","55190 Other Local Health Services","229,150",
"42","2023","55900 Other Public Health Services","5,707",
"43","2023","56500 Libraries","258,335",
"44","2023","56700 Parks and Fair Boards","3,000",
"45","2023","57100 Agriculture Extension Services","73,636",
"46","2023","57500 Soil Conservation","34,558",
"47","2023","58110 Tourism","1,200",
"48","2023","58120 Industrial Development","75,204",
"49","2023","58300 Veterans Service","41,873",
"50","2023","58400 Other Charges","730,850",
"51","2023","58600 Employee Benefits","3,494,470",
"52","2023","58801 Covid 19 Grant# 1 - Dept. of Health Drug Room","100,000",
"53","2023","58900 Miscellaneous","144,020",
"54","2023","99100 Transfers to Other Funds","100,000",
"55","2023","Total General Fund","17,692,557",
"56","2023","DRUG CONTROL FUND","",
"57","2023","54110 Sheriff's Department","10,000",
"58","2023","Total Drug Control Fund","10,000",
"59","2023","ADEQUATE FACILITIES TAX FUND","",
"60","2023","51730 Adequate Facilities-Trustee Commission","3,000",
"61","2023","99100 Transfers to Other Funds","0",
"62","2023","Total Adequate Facilities Fund","3,000",
"63","2023","AMERICAN RESCUE PLAN ACT GRANT #7 (SLFRF)","",
"64","2023","58837 American Rescue Plan Grant (SLRF)","2,632,552",
"65","2023","58841 American Rescue Plan Grant #A (Health Dept)","510,900",
"66","2023","58442 American Rescue Plan Act Grant #B (TDEC BALUD)","225,000",
"67","2023","Total American Rescue Plan Fund","3,368,452",
"68","2023","HIGHWAY/PUBLIC WORKS FUND","",
"69","2023","61000 Administration","319,012",
"70","2023","62000 Highway and Bridge Maintenance","3,150,311",
"71","2023","63100 Operation and Maintenance of Equipment","724,500",
"72","2023","65000 Other Charges","125,500",
"73","2023","66000 Employee Benefits","986,100",
"74","2023","68000 Capital Outlay","3,258,000",
"75","2023","99100 Transfers to Other Funds","143,655",
"76","2023","Total Highway/Public Works Fund","8,707,078",
"77","2023","GENERAL PURPOSE SCHOOL FUND","",
"78","2023","71000 Instruction","",
"79","2023","71100 Regular Instruction Program","16,377,394",
"80","2023","71150 Alternative Instruction Program","288,810",
"81","2023","71200 Special Education Program","3,720,911",
"82","2023","71300 Vocational Education Program","1,337,238",
"83","2023","72000 Support Services","",
"84","2023","72110 Attendance","189,631",
"85","2023","72120 Health Services","660,690",
"86","2023","72130 Other Student Support","1,124,190",
"87","2023","72210 Regular Instruction Program","1,476,210",
"88","2023","72220 Special Education Program","133,398",
"89","2023","72230 Vocational Education Program","212,557",
"90","2023","72250 Technology","451,592",
"91","2023","72290 Other Programs","35,000",
"92","2023","72310 Board of Education","716,203",
"93","2023","72320 Director of Schools","328,338",
"94","2023","72410 Office of Principals","2,014,392",
"95","2023","72510 Fiscal Services","50,000",
"96","2023","72610 Operation of Plant","2,567,000",
"97","2023","72620 Maintenance of Plant","1,333,258",
"98","2023","72710 Transportation","2,546,304",
"99","2023","72810 Central and Other","406,863",
"100","2023","73000 Operation of Non-Instructional Services","",
"101","2023","73100 Food Service","43,016",
"102","2023","73300 Community Services","154,634",
"103","2023","73400 Early Childhood Education","525,088",
"104","2023","76000 Capital Outlay","",
"105","2023","76100 Regular Capital Outlay","2,011,000",
"106","2023","99100 Transfers Out","0",
"107","2023","Total General Purpose School Fund","38,703,717",
"108","2023","GENERAL CAFETERIA FUND","",
"109","2023","73100 Food Services","2,899,494",
"110","2023","Total Central Cafeteria Fund","2,899,494",
"111","2023","GENERAL DEBT SERVICE FUND","",
"112","2023","82110 Principal-General Government","577,487",
"113","2023","82120 Principal-Highway and Streets","164,100",
"114","2023","82130 Principal-Education","1,449,147",
"115","2023","82210 Interest-General Government","161,454",
"116","2023","82220 Interest-Highway and Streets","32,875",
"117","2023","82230 Interest-Education","297,230",
"118","2023","82310 Other-General Government","66,608",
"119","2023","82330 Other-Education","47,578",
"120","2023","99100 Transfers to Other Funds","0",
"121","2023","Total General Debt Service Fund","2,796,479",
"122","2023","55710 Sanitation Management","1,972,824",
"123","2023","64000 Litter and Trash Collection","49,300",
"124","2023","91140 Public Health and Welfare","56,000",
"125","2023","","2,078,124",
"148","2023","Account No. Description","Actual 2021-2022","Original Estimated 2022-2023","Estimated 2023-2024",
"149","2023","ESTIMATED REVENUES","","","",
"150","2023","40000 LOCAL TAXES","","","",
"151","2023","40100 County Property Taxes","","","",
"152","2023","40110 Current Property Taxes","8,628,268","8,420,387","8,885,785",
"153","2023","40120 Trustees Collection Prior Year","179,295","195,000","179,000",
"154","2023","40125 Trustees Collection-Bankruptcy","4,031","4,000","2,000",
"155","2023","40130 Clerk & Master Prior Years","119,579","116,000","116,000",
"156","2023","40140 Interest and Penalty","38,720","40,000","40,000",
"157","2023","40161 Payments in Lieu of Taxes TVA","8,321","9,000","9,000",
"158","2023","40162 Payments in Lieu of Taxes-Loc Utilities","50,485","31,000","31,000",
"159","2023","40163 Payments in Lieu of Taxes-Other","21,860","19,675","15,000",
"160","2023","Total County Property Taxes","9,050,559","8,835,062","9,277,785",
"161","2023","40200 County Local Option Taxes","","","",
"162","2023","40220 Hotel/Motel Tax","33,984","32,000","50,000",
"163","2023","40250 Litigation Tax General","84,475","70,000","84,000",
"164","2023","40260 Litigation Tax-Special Purpose","11,157","10,000","11,000",
"165","2023","40266 Litigation Tax-Jail, Workhouse, Courthouse","76,324","65,000","75,000",
"166","2023","40267 Litigation Tax-Victim Offender","5,010","3,000","5,000",
"167","2023","40270 Business Tax","121,599","92,000","115,000",
"168","2023","40275 Mixed Drink Tax","542","300","1,000",
"169","2023","Total County Local Option Taxes","333,091","272,300","341,000",
"170","2023","40300 Statutory Local Taxes","","","",
"171","2023","40320 Bank Excise Tax","44,529","30,000","4,000",
"172","2023","40330 Wholesale Beer Tax","227,143","230,000","230,000",
"173","2023","40390 Other Statutory Local Taxes","4,380","4,400","4,400",
"174","2023","Total Local Option Taxes","276,052","264,400","238,400",
"175","2023","TOTAL LOCAL TAXES","9,659,702","9,371,762","9,857,185",
"176","2023","41000 LICENSES AND PERMITS","","","",
"177","2023","41100 Licenses","","","",
"178","2023","41140 Cable TV Franchise","51,870","49,000","49,000",
"179","2023","41500 Permits","","","",
"180","2023","41510 Beer Permits","3,729","3,500","3,500",
"181","2023","41520 Building Permits","113,220","100,000","108,000",
"182","2023","TOTAL LICENSES AND PERMITS","168,819","152,500","160,500",
"183","2023","Account No. Description","Actual 2021-2022","Original Estimated 2022-2023","Estimated 2023-2024",
"184","2023","42110 Fines","5,012","4,200","3,000",
"185","2023","42120 Officers Cost","2,666","2,500","1,800",
"186","2023","42141 Drug Court Fees","742","650","650",
"187","2023","42150 Jail Fees","679","700","700",
"188","2023","42180 DUI Treatment Fines","475","350","600",
"189","2023","42190 Data Entry Fee-Circuit Court","394","300","400",
"190","2023","Total Circuit Court","9,968","8,700","7,150",
"191","2023","42200 Criminal Court","","","",
"192","2023","42280 DUI Treatment Fines","542","400","400",
"193","2023","Total Criminal Court","542","400","400",
"194","2023","42300 General Sessions Court","","","",
"195","2023","42310 Fines","7,353","8,000","10,000",
"196","2023","42320 Officers Cost","28,091","23,000","29,000",
"197","2023","42330 Game and Fish Fines","245","300","150",
"198","2023","42341 Drug Court Fees","2,097","1,600","2,000",
"199","2023","42350 Jail Fees","6,904","6,500","7,000",
"200","2023","42380 DUI Treatment Fines","1,995","2,000","3,000",
"201","2023","42390 Data Entry Fee-General Sessions","11,714","9,500","11,700",
"202","2023","Total General Sessions Court","58,399","50,900","62,850",
"203","2023","42500 Chancery Court","","","",
"204","2023","42520 Officers Costs","1,817","1,500","800",
"205","2023","42530 Data Entry Fee-Chancery Court","2,900","3,000","3,000",
"206","2023","Total Chancery Court","4,717","4,500","3,800",
"207","2023","42800 Judicial District Drug Program","","","",
"208","2023","42871 Courtroom Security Fee","9,378","8,000","8,000",
"209","2023","Total Judicial District Drug Program","9,378","8,000","8,000",
"210","2023","42900 Other Fines, Forfeitures, and Seizures","","","",
"211","2023","42910 Proceeds from Confiscated Property","1,664","1,800","2,500",
"212","2023","42990 Other Fines, Forfeitures, and Penalties","388","1,500","400",
"213","2023","Total Other Fines, Forfeitures and Seizures","2,052","3,300","2,900",
"214","2023","TOTAL FINES, FORFEITURES AND PENALTIES","85,056","75,800","85,100",
"215","2023","43000 CHARGES FOR CURRENT SERVICES","","","",
"216","2023","43100 General Services","","","",
"217","2023","43102 Other Employee Benefit Charges/Contrib","42,174","25,000","25,000",
"218","2023","43120 Patient Charges","1,097,303","1,200,000","1,200,000",
"219","2023","Total Charges for General Services","1,139,477","1,225,000","1,225,000",
"220","2023","Account No. Description","Actual 2021-2022","Original Estimated 2022-2023","Estimated 2023-2024",
"221","2023","43300 Fees","","","",
"222","2023","43350 Copy Fees","2,986","1,700","2,000",
"223","2023","43350-LIB Copy Fees-Library","6,085","5,000","5,000",
"224","2023","43360 Library Fees","899","800","2,000",
"225","2023","43365 Archives and Records Management Fees","15,164","12,000","15,000",
"226","2023","43370 Telephone Commissions","27,126","25,000","50,000",
"227","2023","43383 Additional Fees-Titling and Registration","0","0","15,000",
"228","2023","43392 Data Processing Fees Register","13,894","14,000","13,000",
"229","2023","43393 Probation Fees","1,526","1,300","1,500",
"230","2023","43394 Data Processing Fees-Sheriff","186","150","100",
"231","2023","43395 Sexual Offenders Registration Fees-Sheriff","5,700","5,500","5,500",
