"'Account Nc","'Description","'Actual 2021-2022","'Estimated 2022-2023","'Estimated 2023-2024",
"'Total Estimated","'American Rescue Plan Grant #A","'0","'0","'225,000",
"'Total Estimated","'Expenditure","'0","'595,000","'3,368,452",
"'(Under) Estimated","'Expenditures","'2,445,649","'1,851,127","'(2,759,452)",
"'Estimated","'Beginning Fund Balance July 1","'0","'2,445,649","'4,040,000",
"'Estimated","'Ending Fund Balance June 30","'2,445,649","'4,296,776","'1,280,548",
,,,,

'Confidence Scores % (Table Cell)
""'29.78515625","'37.89062500","'91.50390625","'90.47851563","'93.26171875",
"'45.99609375","'45.99609375","'89.99023438","'89.01367188","'91.74804688",
"'57.08007813","'57.08007813","'87.59765625","'86.66992188","'89.30664063",
"'65.77148438","'65.77148438","'85.88867188","'84.96093750","'87.54882813",
"'62.50000000","'62.50000000","'71.72851563","'70.94726563","'73.14453125",
"'65.67382813","'65.67382813","'90.86914063","'89.84375000","'92.62695313",
