"'54410 Civil Defense","'218,133",
"'54610 County Coroner/Medical Examiner","'58,000",
"'55110 Local Health Center","'50,601",
"'55130 Ambulance/Emergency Medical Services","'2,696,608",
"'55170 Alcohol and Drug Programs","'22,886",
"'55190 Other Local Health Services","'229,150",
"'55900 Other Public Health Services","'5,707",
"'56500 Libraries","'258,335",
"'56700 Parks and Fair Boards","'3,000",
"'57100 Agriculture Extension Services","'73,636",
"'57500 Soil Conservation","'34,558",
"'58110 Tourism","'1,200",
"'58120 Industrial Development","'75,204",
"'58300 Veterans Service","'41,873",
"'58400 Other Charges","'730,850",
"'58600 Employee Benefits","'3,494,470",
"'58801 Covid 19 Grant# 1 - Dept. of Health Drug Room","'100,000",
"'58900 Miscellaneous","'144,020",
"'99100 Transfers to Other Funds","'100,000",
"'Total General Fund","'17,692,557",
"'DRUG CONTROL FUND","'",
"'54110 Sheriff's Department","'10,000",
"'Total Drug Control Fund","'10,000",
"'ADEQUATE FACILITIES TAX FUND","'",
"'51730 Adequate Facilities-Trustee Commission","'3,000",
"'99100 Transfers to Other Funds","'0",
"'Total Adequate Facilities Fund","'3,000",
"'AMERICAN RESCUE PLAN ACT GRANT #7 (SLFRF)","'",
"'58837 American Rescue Plan Grant (SLRF)","'2,632,552",
"'58841 American Rescue Plan Grant #A (Health Dept)","'510,900",
"'58442 American Rescue Plan Act Grant #B (TDEC BALUD)","'225,000",
"'Total American Rescue Plan Fund","'3,368,452",
"'HIGHWAY/PUBLIC WORKS FUND","'",
"'61000 Administration","'319,012",
"'62000 Highway and Bridge Maintenance","'3,150,311",
"'63100 Operation and Maintenance of Equipment","'724,500",
"'65000 Other Charges","'125,500",
"'66000 Employee Benefits","'986,100",
"'68000 Capital Outlay","'3,258,000",
"'99100 Transfers to Other Funds","'143,655",
,

'Confidence Scores % (Table Cell)
""'97.16796875","'91.30859375",
"'92.87109375","'87.25585938",
"'93.45703125","'87.79296875",
"'93.50585938","'87.89062500",
"'93.26171875","'87.59765625",
"'93.01757813","'87.40234375",
"'93.65234375","'88.03710938",
"'93.35937500","'87.69531250",
"'94.14062500","'88.47656250",
"'94.28710938","'88.62304688",
"'92.77343750","'87.15820313",
"'93.99414063","'88.33007813",
"'94.18945313","'88.52539063",
"'93.26171875","'87.59765625",
"'94.43359375","'88.72070313",
"'92.87109375","'87.25585938",
"'94.67773438","'88.96484375",
"'93.99414063","'88.33007813",
"'94.77539063","'89.06250000",
"'92.13867188","'86.57226563",
"'84.47265625","'84.47265625",
"'89.84375000","'84.37500000",
"'89.40429688","'83.98437500",
"'80.17578125","'80.17578125",
"'93.16406250","'87.50000000",
"'88.57421875","'83.20312500",
"'88.37890625","'83.05664063",
"'75.97656250","'75.97656250",
"'90.08789063","'84.61914063",
"'94.09179688","'88.42773438",
"'94.87304688","'89.16015625",
"'87.74414063","'82.47070313",
"'78.12500000","'78.12500000",
"'89.64843750","'84.22851563",
"'94.14062500","'88.47656250",
"'93.70117188","'88.03710938",
"'91.55273438","'86.03515625",
"'94.23828125","'88.57421875",
"'92.96875000","'87.35351563",
"'95.80078125","'89.99023438",
