"'Account No Description","'Actual 2021-2022","'Estimated 2022-2023","'Estimated 2023-2024",
"'73000 OPERATION OF NON-INSTRUCTIONAL SERVICES","'","'","'",
"'73100 Food Services","'","'","'",
"'105 Supervisor/Director","'37,000","'37,000","'37,000",
"'119 Accountants/Bookkeeper","'123,980","'131,000","'155,000",
"'165 Cafeteria Personnel","'467,363","'546,000","'657,000",
"'201 Social Security","'46,821","'54,000","'64,948",
"'204 State Retirement","'64,805","'75,000","'100,522",
"'207 Medical Insurance","'45,000","'48,000","'135,000",
"'307 Communication","'2,941","'3,000","'3,500",
"'336 Maint & Repair Services - Equipment","'52,225","'59,000","'59,000",
"'354 Transportation - Other than Students","'3,593","'5,000","'5,000",
"'355 Travel","'3,077","'3,000","'4,000",
"'399 Other Contracted Services","'64,862","'59,000","'59,000",
"'422 Food Supplies","'909,989","'1,113,000","'1,213,000",
"'422-SCA Food Supplies-Supply Chain","'0","'0","'0",
"'452 Utilities","'1,257","'3,000","'3,000",
"'469 USDA-Commodities","'88,791","'0","'0",
"'499 Other Supplies and Materials","'98,431","'125,000","'198,024",
"'599 Other Charges","'14,259","'25,000","'25,000",
"'710 Food Service Equipment","'4,484","'50,000","'180,500",
"'Total Food Service","'2,028,878","'2,336,000","'2,899,494",
"'Total Estimated Expenditures","'2,028,878","'2,336,000","'2,899,494",
"'Excess of Estimated Revenues Over","'","'","'",
"'(Under) Estimated Expenditures","'583,534","'0","'(412,524)",
"'Estimated Beginning Fund Balance July 1","'507,546","'1,091,080","'412,524",
"'Estimated Ending Fund Balance June 30","'1,091,080","'1,091,080","'0",
,,,

'Confidence Scores % (Table Cell)
""'37.98828125","'91.40625000","'90.72265625","'94.43359375",
"'68.75000000","'68.75000000","'68.75000000","'68.75000000",
"'52.83203125","'52.83203125","'52.83203125","'52.83203125",
"'36.62109375","'88.08593750","'87.45117188","'91.01562500",
"'35.52246094","'85.49804688","'84.86328125","'88.33007813",
"'35.96191406","'86.52343750","'85.88867188","'89.40429688",
"'36.23046875","'87.15820313","'86.52343750","'90.03906250",
"'35.76660156","'86.08398438","'85.44921875","'88.91601563",
"'36.18164063","'87.06054688","'86.42578125","'89.94140625",
"'36.30371094","'87.35351563","'86.66992188","'90.23437500",
"'36.59667969","'88.03710938","'87.40234375","'90.96679688",
"'36.32812500","'87.40234375","'86.76757813","'90.33203125",
"'36.54785156","'87.93945313","'87.25585938","'90.82031250",
"'36.01074219","'86.66992188","'86.03515625","'89.55078125",
"'36.32812500","'87.40234375","'86.71875000","'90.28320313",
"'35.96191406","'86.52343750","'85.88867188","'89.40429688",
"'35.88867188","'86.32812500","'85.69335938","'89.20898438",
"'35.96191406","'86.52343750","'85.88867188","'89.40429688",
"'36.10839844","'86.86523438","'86.23046875","'89.74609375",
"'35.18066406","'84.66796875","'84.03320313","'87.50000000",
"'35.66894531","'85.79101563","'85.15625000","'88.62304688",
"'37.81738281","'90.96679688","'90.28320313","'93.99414063",
"'37.74414063","'90.82031250","'90.13671875","'93.84765625",
"'56.88476563","'56.88476563","'56.88476563","'56.88476563",
"'30.22460938","'72.70507813","'72.16796875","'75.14648438",
"'36.57226563","'87.98828125","'87.30468750","'90.86914063",
"'37.50000000","'90.23437500","'89.55078125","'93.21289063",
