"'Fund","'Proposed Tax Rate","'Amount of Tax Levy","'7.00% Reserve for Delinquency","'Estimated Collection of Taxes",
"'General","'$1.9300","'10,850,964","'759,567","'10,091,397",
"'Highway/Public Works","'$0.0600","'337,336","'23,613","'313,722",
"'General Purpose School","'$0.5800","'3,260,911","'228,264","'3,032,648",
"'General Debt Service","'$0.0000","'0","'0","'0",
"'Total","'$2.5700","'14,449,211","'1,011,444","'13,437,767",
,,,,

'Confidence Scores % (Table Cell)
""'95.16601563","'90.57617188","'95.45898438","'95.06835938","'92.28515625",
"'87.93945313","'83.69140625","'88.23242188","'87.84179688","'85.30273438",
"'88.23242188","'83.93554688","'88.47656250","'88.13476563","'85.54687500",
"'88.86718750","'84.52148438","'89.11132813","'88.76953125","'86.13281250",
"'86.32812500","'82.17773438","'86.62109375","'86.23046875","'83.74023438",
"'94.28710938","'89.69726563","'94.58007813","'94.18945313","'91.40625000",
