"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'186 Longevity","'5,400","'3,200","'3,500",
"'189 Other Salaries and Wages","'20,039","'21,704","'22,790",
"'317 Data Processing Services","'3,235","'3,600","'3,600",
"'320 Dues & Memberships","'60","'750","'750",
"'335 Maint & Repair Services Buildings","'2,946","'3,000","'3,000",
"'348 Postal Charges","'709","'1,200","'1,200",
"'355 Travel","'796","'2,000","'2,000",
"'399 Other Contracted Services","'17,622","'17,854","'18,000",
"'432 Library Books & Media","'5,792","'7,500","'7,000",
"'435 Office Supplies","'6,643","'7,000","'6,500",
"'452 Utilities","'5,446","'3,000","'5,500",
"'499 Other Supplies & Materials","'304","'2,000","'2,000",
"'524 In-Service/Staff Development","'0","'2,000","'1,500",
"'599 Other Charges","'13,440","'15,000","'3,000",
"'790 Other Equipment","'1,642","'8,000","'9,000",
"'Total Estimated Expenditures","'212,362","'258,335","'256,289",
"'56700 Parks and Fair Boards","'","'","'",
"'316 Contributions","'3,000","'3,000","'3,000",
"'Total Senior Citizens Assistance","'3,000","'3,000","'3,000",
"'Total Social, Cultural and Recreational","'215,362","'261,335","'259,289",
"'57000 AGRICULTURE AND NATURAL RESOURCES","'","'","'",
"'57100 Agriculture Extension Service","'","'","'",
"'316 Contributions","'69,434","'70,261","'70,992",
"'320 Dues and Memberships","'345","'350","'350",
"'328 Janitorial Services","'0","'0","'1,560",
"'355 Travel","'1,041","'900","'900",
"'410 Custodial Supplies","'125","'125","'125",
"'435 Office Supplies","'0","'1,000","'1,000",
"'719 Office Equipment","'1,849","'1,000","'1,000",
"'Total Agriculture Extension Services","'72,794","'73,636","'75,927",
"'57500 Soil Conservation","'","'","'",
"'161 Secretary","'22,547","'26,208","'31,804",
"'186 Longevity","'700","'800","'900",
"'399 Other Contracted Services","'5,000","'5,000","'5,000",
"'599 Other Charges","'2,550","'2,550","'3,000",
"'Total Soil Conservation","'30,797","'34,558","'40,704",
"'Total Agriculture and Natural Resources","'103,591","'108,194","'116,631",
"'58000 OTHER GENERAL GOVERNMENT","'","'","'",
"'58110 Tourism","'","'","'",
"'316 Contributions","'0","'1,200","'1,200",
"'599-TOUR Other Charges-Tourism Grant","'0","'0","'0",
,,,

'Confidence Scores % (Table Cell)
""'95.45898438","'93.40820313","'93.84765625","'95.16601563",
"'92.38281250","'90.42968750","'90.82031250","'92.08984375",
"'91.01562500","'89.06250000","'89.50195313","'90.72265625",
"'92.33398438","'90.38085938","'90.82031250","'92.04101563",
"'91.06445313","'89.11132813","'89.55078125","'90.77148438",
"'91.94335938","'89.99023438","'90.42968750","'91.69921875",
"'91.30859375","'89.35546875","'89.79492188","'91.01562500",
"'91.16210938","'89.20898438","'89.64843750","'90.86914063",
"'91.99218750","'90.03906250","'90.47851563","'91.74804688",
"'91.69921875","'89.74609375","'90.13671875","'91.40625000",
"'91.69921875","'89.79492188","'90.18554688","'91.45507813",
"'90.28320313","'88.37890625","'88.81835938","'90.03906250",
"'91.50390625","'89.55078125","'89.94140625","'91.21093750",
"'92.13867188","'90.18554688","'90.62500000","'91.84570313",
"'89.59960938","'87.69531250","'88.08593750","'89.30664063",
"'91.50390625","'89.55078125","'89.94140625","'91.21093750",
"'95.26367188","'93.26171875","'93.70117188","'94.97070313",
"'55.90820313","'55.90820313","'55.90820313","'55.90820313",
"'63.96484375","'62.59765625","'62.89062500","'63.76953125",
"'94.23828125","'92.23632813","'92.67578125","'93.94531250",
"'94.62890625","'92.62695313","'93.06640625","'94.38476563",
"'61.86523438","'61.86523438","'61.86523438","'61.86523438",
"'45.80078125","'45.80078125","'45.80078125","'45.80078125",
"'88.42773438","'86.52343750","'86.96289063","'88.13476563",
"'89.99023438","'88.08593750","'88.47656250","'89.69726563",
"'90.38085938","'88.47656250","'88.91601563","'90.13671875",
"'90.62500000","'88.72070313","'89.11132813","'90.38085938",
"'89.69726563","'87.79296875","'88.18359375","'89.40429688",
"'87.50000000","'85.64453125","'86.08398438","'87.25585938",
"'88.67187500","'86.76757813","'87.15820313","'88.37890625",
"'94.97070313","'92.96875000","'93.40820313","'94.67773438",
"'71.67968750","'71.67968750","'71.67968750","'71.67968750",
"'78.61328125","'76.90429688","'77.29492188","'78.36914063",
"'89.59960938","'87.69531250","'88.08593750","'89.30664063",
"'90.86914063","'88.96484375","'89.35546875","'90.57617188",
"'87.01171875","'85.15625000","'85.54687500","'86.71875000",
"'94.87304688","'92.87109375","'93.31054688","'94.58007813",
"'94.38476563","'92.38281250","'92.77343750","'94.09179688",
"'61.96289063","'61.96289063","'61.96289063","'61.96289063",
"'52.24609375","'52.24609375","'52.24609375","'52.24609375",
"'89.84375000","'87.93945313","'88.33007813","'89.55078125",
"'94.48242188","'92.48046875","'92.87109375","'94.18945313",
