"'51100","'County Commission","'54,100",
"'51210","'Board of Equalization","'3,500",
"'51220","'Beer Board","'1,000",
"'51300","'County Mayor","'159,673",
"'51400","'County Attorney","'45,000",
"'51500","'Election Commission(Including Voter Registration)","'270,823",
"'51600","'Register of Deeds","'194,850",
"'51720","'Planning","'383,527",
"'51800","'County Building","'443,489",
"'51810","'Other Facilities","'439,000",
"'51900","'Other General Administration","'115,000",
"'51910","'Preservation of Records","'56,689",
"'52100","'Accounting and Budgeting","'361,130",
"'52300","'Property Assessor's Office","'320,119",
"'52400","'County Trustee's Office","'256,540",
"'52500","'County Clerk's Office","'338,072",
"'53100","'Circuit Court","'385,450",
"'53300","'General Sessions Court","'256,979",
"'53310","'General Sessions Judge","'4,000",
"'53400","'Chancery Court","'201,955",
"'53700","'Judicial Commissioners","'65,512",
"'53920","'Courtroom Security","'0",
"'54110","'Sheriff's Department","'3,453,464",
"'54160","'Adm. Of Sexual Offender Registry","'7,500",
,,

'Confidence Scores % (Table Cell)
""'87.84179688","'96.72851563","'84.08203125",
"'85.35156250","'93.94531250","'81.68945313",
"'85.83984375","'94.48242188","'82.17773438",
"'86.23046875","'94.92187500","'82.56835938",
"'85.30273438","'93.89648438","'81.64062500",
"'84.61914063","'93.16406250","'81.00585938",
"'85.35156250","'93.94531250","'81.68945313",
"'85.49804688","'94.14062500","'81.83593750",
"'85.05859375","'93.65234375","'81.44531250",
"'84.37500000","'92.87109375","'80.76171875",
"'84.91210938","'93.45703125","'81.25000000",
"'84.22851563","'92.72460938","'80.66406250",
"'85.69335938","'94.28710938","'82.03125000",
"'84.76562500","'93.31054688","'81.15234375",
"'85.30273438","'93.89648438","'81.64062500",
"'85.25390625","'93.84765625","'81.59179688",
"'85.15625000","'93.75000000","'81.49414063",
"'85.15625000","'93.75000000","'81.49414063",
"'85.30273438","'93.89648438","'81.64062500",
"'85.30273438","'93.89648438","'81.64062500",
"'85.05859375","'93.65234375","'81.44531250",
"'83.74023438","'92.18750000","'80.17578125",
"'83.64257813","'92.04101563","'80.07812500",
"'86.96289063","'95.75195313","'83.25195313",
