"'54210","'Jail","'1,854,509",
"'54310","'Fire Prevention and Control","'20,500",
"'54320","'Rural Fire Protection","'150,000",
"'54410","'Civil Defense","'235,778",
"'54610","'County Coroner/Medical Examiner","'60,000",
"'55110","'Local Health Center","'50,601",
"'55130","'Ambulance/Emergency Medical Services","'3,088,729",
"'55170","'Alcohol and Drug Programs","'22,758",
"'55190","'Other Local Health Services","'245,850",
"'55900","'Other Public Health Services","'0",
"'56500","'Libraries","'256,289",
"'56700","'Parks and Fair Boards","'3,000",
"'57100","'Agriculture Extension Services","'75,927",
"'57500","'Soil Conservation","'40,704",
"'58110","'Tourism","'1,200",
"'58120","'Industrial Development","'35,000",
"'58300","'Veterans Service","'44,836",
"'58400","'Other Charges","'852,000",
"'58600","'Employee Benefits","'3,838,060",
"'","'Covid 19 Grant# 1 -- Dept. of Health Drug","'",
"'58801","'Room","'90,800",
"'58900","'Miscellaneous","'148,293",
"'99100","'Transfers to Other Funds","'135,000",
"'","'Total General Fund","'19,067,206",
,,

'Confidence Scores % (Table Cell)
""'66.60156250","'95.65429688","'91.21093750",
"'63.96484375","'91.89453125","'87.59765625",
"'65.03906250","'93.40820313","'89.06250000",
"'64.94140625","'93.26171875","'88.91601563",
"'64.94140625","'93.26171875","'88.91601563",
"'64.16015625","'92.18750000","'87.89062500",
"'64.74609375","'92.96875000","'88.67187500",
"'64.55078125","'92.67578125","'88.37890625",
"'64.40429688","'92.52929688","'88.18359375",
"'64.16015625","'92.13867188","'87.84179688",
"'64.50195313","'92.67578125","'88.33007813",
"'64.50195313","'92.67578125","'88.33007813",
"'65.13671875","'93.55468750","'89.20898438",
"'64.69726563","'92.91992188","'88.62304688",
"'64.64843750","'92.82226563","'88.52539063",
"'64.89257813","'93.16406250","'88.81835938",
"'64.35546875","'92.43164063","'88.13476563",
"'65.47851563","'94.09179688","'89.69726563",
"'28.88183594","'41.47949219","'39.55078125",
"'23.44970703","'33.66699219","'32.10449219",
"'32.44628906","'46.58203125","'44.40917969",
"'64.55078125","'92.67578125","'88.37890625",
"'62.93945313","'90.42968750","'86.18164063",
"'66.65039063","'95.70312500","'91.25976563",
