"'Account No Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'ESTIMATED REVENUES","'","'","'",
"'43000 CHARGES FOR CURRENT SERVICES","'","'","'",
"'43500 Education Charges","'","'","'",
"'43521 Lunch Payments Children","'340,953","'540,000","'0",
"'43522 Lunch Payments Adults","'30,045","'75,000","'28,498",
"'43523 Income from Breakfast","'87,940","'85,000","'2,969",
"'43525 A la Carte Sales","'115,256","'175,000","'225,000",
"'Total Charges for Current Services","'574,194","'875,000","'256,467",
"'44000 OTHER LOCAL REVENUES","'","'","'",
"'44100 Recurring Items","'","'","'",
"'44110 Investment Income","'2,221","'1,000","'1,000",
"'44500 Non-Recurring Items","'","'","'",
"'44530 Sale of Equipment","'0","'0","'0",
"'Total Other Local Revenues","'2,221","'1,000","'1,000",
"'46000 STATE OF TENNESSEE","'","'","'",
"'46500 State Education Funds","'","'","'",
"'46520 School Food Service","'16,734","'0","'0",
"'46800 Other State Revenue","'","'","'",
"'46980 Other State Grants","'0","'0","'0",
"'46990 Other State Revenue","'397","'0","'0",
"'Total State of Tennessee","'17,131","'0","'0",
"'47000 FEDERAL GOVERNMENT","'","'","'",
"'47100 Federal Through State","'","'","'",
"'47111 USDA School Lunch Program","'1,063,615","'1,035,000","'1,700,000",
"'47112 USDA-Commodities","'133,059","'0","'0",
"'47113 Breakfast","'387,076","'540,000","'750,000",
"'47114 USDA-Other","'176,363","'35,970","'0",
"'Total Federal Government","'1,760,113","'1,610,970","'2,450,000",
"'TOTAL ESTIMATED REVENUE","'2,353,659","'2,486,970","'2,707,467",
"'49000 ESTIMATED OTHER SOURCES(NON-REVENUE) 49800 Transfer In","'0","'0","'0",
"'TOTAL ESTIMATE OTHER SOURCES","'0","'0","'0",
"'TOTAL ESTIMATED REVENUE AND OTHER SOURCE","'2,353,659","'2,486,970","'2,707,467",
,,,

'Confidence Scores % (Table Cell)
""'95.50781250","'89.30664063","'90.82031250","'94.53125000",
"'72.11914063","'72.11914063","'72.11914063","'72.11914063",
"'52.24609375","'52.24609375","'52.24609375","'52.24609375",
"'49.60937500","'49.60937500","'49.60937500","'49.60937500",
"'88.76953125","'83.05664063","'84.42382813","'87.89062500",
"'89.74609375","'83.93554688","'85.35156250","'88.81835938",
"'87.40234375","'81.78710938","'83.15429688","'86.52343750",
"'84.32617188","'78.85742188","'80.17578125","'83.44726563",
"'94.67773438","'88.57421875","'90.03906250","'93.75000000",
"'59.61914063","'59.61914063","'59.61914063","'59.61914063",
"'42.43164063","'42.43164063","'42.43164063","'42.43164063",
"'88.42773438","'82.71484375","'84.08203125","'87.50000000",
"'36.84082031","'36.84082031","'52.44140625","'54.54101563",
"'74.26757813","'69.43359375","'70.60546875","'73.48632813",
"'94.38476563","'88.28125000","'89.74609375","'93.40820313",
"'59.71679688","'59.71679688","'59.71679688","'59.71679688",
"'41.87011719","'41.87011719","'41.87011719","'41.87011719",
"'85.15625000","'79.63867188","'81.00585938","'84.27734375",
"'40.72265625","'40.72265625","'40.72265625","'40.72265625",
"'82.56835938","'77.24609375","'78.51562500","'81.73828125",
"'83.25195313","'77.88085938","'79.19921875","'82.42187500",
"'94.67773438","'88.57421875","'90.03906250","'93.75000000",
"'61.13281250","'61.13281250","'61.13281250","'61.13281250",
"'43.50585938","'43.50585938","'43.50585938","'43.50585938",
"'83.10546875","'77.73437500","'79.05273438","'82.27539063",
"'87.50000000","'81.88476563","'83.25195313","'86.62109375",
"'85.88867188","'80.37109375","'81.68945313","'85.05859375",
"'83.44726563","'78.07617188","'79.39453125","'82.61718750",
"'93.45703125","'87.45117188","'88.91601563","'92.52929688",
"'95.06835938","'88.91601563","'90.42968750","'94.09179688",
"'44.75097656","'42.33398438","'46.67968750","'45.80078125",
"'92.96875000","'86.96289063","'88.37890625","'91.99218750",
"'94.14062500","'88.03710938","'89.50195313","'93.16406250",
