"'Account No.","'Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'","'ESTIMATED REVENUE","'","'","'",
"'","'OPERATING REVENUE","'","'","'",
"'43000","'CHARGES FOR CURRENT SERVICES","'","'","'",
"'43100","'General Services Charges","'","'","'",
"'43106","'Commercial & Industrial Collection Charge","'232,096","'140,000","'212,000",
"'43107","'Residential Waste Collection Charge","'129,385","'100,000","'135,000",
"'43110","'Tipping Fees","'78,485","'50,000","'50,000",
"'43114","'Solid Waste Disposal Fee","'856,684","'850,000","'850,000",
"'","'Total Charges for Current Services","'1,296,650","'1,140,000","'1,247,000",
"'44000","'OTHER LOCAL REVENUES","'","'","'",
"'44100","'Recurring Items","'","'","'",
"'44110","'Investment Income","'15,406","'6,000","'30,000",
"'44120","'Lease/Rentals","'86,084","'65,000","'58,000",
"'44145","'Sale of Recycled Materials","'108,266","'100,000","'150,000",
"'44170","'Miscellaneous Refunds","'0","'0","'0",
"'","'Total Recurring Items","'209,756","'171,000","'238,000",
"'44500","'Non-Recurring Items","'","'","'",
"'44530","'Sale of Equipment","'0","'15,000","'15,000",
"'","'Total Non-Recurring Items","'0","'15,000","'15,000",
"'","'Total Other Local Revenues","'209,756","'186,000","'253,000",
"'46000","'STATE OF TENNESSEE","'","'","'",
"'46100","'General Government Grants","'","'","'",
"'46170","'Solid Waste Grants","'0","'0","'0",
"'46400","'Public Works Grants","'","'","'",
"'46430","'Litter Program","'32,608","'49,300","'49,300",
"'","'Total Public Works Grants","'32,608","'49,300","'49,300",
"'46800","'Other State Revenues","'","'","'",
"'46980","'Other State Grants","'1,866","'0","'0",
"'46990","'Other State Revenues","'0","'9,000","'9,000",
"'","'Total Other State Revenues","'1,866","'9,000","'9,000",
"'","'Total State of Tennessee","'34,474","'58,300","'58,300",
,,,,

'Confidence Scores % (Table Cell)
""'43.94531250","'44.33593750","'91.16210938","'93.11523438","'93.94531250",
"'69.18945313","'69.18945313","'69.18945313","'69.18945313","'69.18945313",
"'42.43164063","'42.43164063","'42.43164063","'42.43164063","'42.43164063",
"'29.90722656","'30.17578125","'62.06054688","'63.37890625","'63.96484375",
"'28.80859375","'29.05273438","'59.76562500","'60.98632813","'61.57226563",
"'41.21093750","'41.57714844","'85.49804688","'87.30468750","'88.08593750",
"'42.23632813","'42.60253906","'87.59765625","'89.45312500","'90.28320313",
"'41.11328125","'41.47949219","'85.30273438","'87.10937500","'87.89062500",
"'41.57714844","'41.94335938","'86.23046875","'88.08593750","'88.86718750",
"'42.06542969","'42.06542969","'91.11328125","'93.01757813","'93.89648438",
"'50.09765625","'50.09765625","'50.09765625","'50.09765625","'50.09765625",
"'38.25683594","'38.25683594","'38.25683594","'38.25683594","'38.25683594",
"'40.62500000","'40.96679688","'84.27734375","'86.03515625","'86.81640625",
"'41.30859375","'41.67480469","'85.69335938","'87.50000000","'88.33007813",
"'41.79687500","'42.16308594","'86.71875000","'88.52539063","'89.35546875",
"'39.08691406","'39.42871094","'81.10351563","'82.81250000","'83.59375000",
"'42.16308594","'42.16308594","'89.94140625","'91.84570313","'92.72460938",
"'44.26269531","'44.26269531","'44.26269531","'44.26269531","'44.26269531",
"'31.39648438","'31.66503906","'65.13671875","'66.50390625","'67.13867188",
"'42.16308594","'42.16308594","'89.84375000","'91.74804688","'92.62695313",
"'41.87011719","'41.87011719","'88.91601563","'90.77148438","'91.65039063",
"'43.77441406","'43.77441406","'43.77441406","'43.77441406","'43.77441406",
"'23.10791016","'23.31542969","'47.94921875","'48.95019531","'49.41406250",
"'33.30078125","'33.59375000","'69.04296875","'70.50781250","'71.19140625",
"'29.76074219","'30.02929688","'61.71875000","'63.03710938","'63.62304688",
"'35.57128906","'35.86425781","'73.77929688","'75.34179688","'76.02539063",
"'42.06542969","'42.06542969","'90.18554688","'92.08984375","'92.91992188",
"'43.87207031","'43.87207031","'43.87207031","'43.87207031","'43.87207031",
"'38.03710938","'38.03710938","'68.94531250","'70.36132813","'71.04492188",
"'39.18457031","'39.18457031","'81.20117188","'82.91015625","'83.64257813",
"'41.11328125","'41.11328125","'89.94140625","'91.84570313","'92.72460938",
"'39.08691406","'39.08691406","'89.89257813","'91.79687500","'92.67578125",
