"134","2021","Fund","Estimated Beginning Fund Balance 7/1/2021","Estimated Revenue","Transfers In","Estimated Total Available Funds","Estimated Expenditures","Transfers Out","Total Appropriations","Estimated Ending Fund Balance 6/30/2022",
"135","2021","General","6,100,000","13,106,848","35,000","19,241,848","14,474,349","100,000","14,574,349","4,667,499",
"136","2021","Drug Control","160,000","53,500","0","213,500","10,000","0","10,000","203,500",
"137","2021","Adequate Facilities Tax","900,000","280,000","0","1,180,000","2,500","280,000","282,500","897,500",
"138","2021","Highway/Public Works","1,900,000","6,179,904","0","8,079,904","6,391,718","121,088","6,512,806","1,567,098",
"139","2021","General Debt Service","2,500,000","2,365,492","466,088","5,331,580","3,014,101","0","3,014,101","2,317,479",
"140","2021","General Purpose School","9,372,445","29,412,518","25,000","38,809,963","32,869,575","165,000","33,034,575","5,775,388",
"141","2021","Central Cafeteria","500,000","2,175,200","0","2,675,200","2,175,200","0","2,175,200","500,000",
"142","2021","Solid Waste Disposal","953,311","1,674,560","0","2,627,871","1,774,097","0","1,774,097","853,774",
"143","2021","Totals","22,385,756","55,248,022","526,088","78,159,866","60,711,540","666,088","61,377,628","16,782,238",
"149","2021","Fund","Proposed Tax Rate","Amount of Tax Levy","7.00% Reserve for Delinquency","Estimated Collection of Taxes",
"150","2021","General","$1.99","8,777,394","614,418","$8,162,976",
"151","2021","Highway/Public Works","$0.07","308,753","21,613","287,140",
"152","2021","General Purpose School","$0.72","3,175,741","222,302","$2,953,439",
"153","2021","General Debt Service","$0.02","88,215","6,175","82,040",
"154","2021","Total","$2.80","$12,350,103","864,508","$11,485,595",
"158","2022","Fund","Estimated Beginning Fund Balance 7/1/2022","Estimated Revenue","Transfers In","Estimated Total Available Funds","Estimated Expenditures","Transfers Out","Total Appropriations","Estimated Ending Fund Balance 6/30/2023",
"159","2022","General","6,500,000","13,554,244","35,000","20,089,244","15,863,678","100,000","15,963,678","4,125,566",
"160","2022","Drug Control","108,000","53,500","0","161,500","85,000","0","85,000","76,500",
"161","2022","Adequate Facilities Tax","880,000","260,000","0","1,140,000","152,600","280,000","432,600","707,400",
"162","2022","American Rescue Plan(SLFRF)","2,445,647","2,446,127","0","4,891,774","595,000","0","595,000","4,296,774",
"163","2022","Highway/Public Works","1,600,000","7,245,414","0","8,845,414","7,099,864","143,655","7,243,519","1,601,895",
"164","2022","General Debt Service","3,200,000","2,509,737","488,655","6,198,392","3,101,565","0","3,101,565","3,096,827",
"165","2022","General Purpose School","11,658,580","30,012,559","25,000","41,696,139","34,751,219","0","34,751,219","6,944,920",
"166","2022","Central Cafeteria","507,546","2,336,000","0","2,843,546","2,336,000","0","2,336,000","507,546",
"167","2022","Solid Waste Disposal","631,164","1,729,560","0","2,360,724","1,876,544","0","1,876,544","484,180",
"168","2022","Totals","27,530,937","60,147,141","548,655","88,226,733","65,861,470","523,655","66,385,125","21,841,608",
"174","2022","Fund","Proposed Tax Rate","Amount of Tax Levy","7.00% Reserve for Delinquency","Estimated Collection of Taxes",
"175","2022","General","$1.6724","9,054,180","633,793","$8,420,387",
"176","2022","Highway/Public Works","$0.0571","309,133","21,639","287,493",
"177","2022","General Purpose School","$0.5866","3,175,784","222,305","$2,953,479",
"178","2022","General Debt Service","$0.0163","88,246","6,177","82,069",
"179","2022","Total","$2.3324","$12,627,343","883,914","$11,743,429",
"126","2023","Fund","Estimated Beginning Fund Balance 7/1/2023","Estimated Revenue","Transfers In","Estimated Total Available Funds","Estimated Expenditures","Transfers Out","Total Appropriations","Estimated Ending Fund Balance 6/30/2024",
"127","2023","General","6,400,000","14,981,338","35,000","21,416,338","17,592,557","100,000","17,692,557","3,723,781",
"128","2023","Drug Control","54,000","53,000","0","107,000","10,000","0","10,000","97,000",
"129","2023","Adequate Facilities Tax","771,000","260,000","0","1,031,000","3,000","0","3,000","1,028,000",
"130","2023","American Rescue Plan(SLFRF)","4,040,000","609,000","0","4,649,000","3,368,452","0","3,368,452","1,280,548",
"131","2023","Highway/Public Works","2,100,000","7,698,264","75,000","9,873,264","8,563,423","143,655","8,707,078","1,166,186",
"132","2023","General Debt Service","3,900,000","2,975,663","296,975","7,172,638","2,796,479","0","2,796,479","4,376,159",
"133","2023","General Purpose School","12,015,861","30,929,049","25,000","42,969,910","38,703,717","0","38,703,717","4,266,193",
"134","2023","Central Cafeteria","412,524","2,486,970","0","2,899,494","2,899,494","0","2,899,494","0",
"135","2023","Solid Waste Disposal","700,000","1,629,300","0","2,329,300","2,078,124","0","2,078,124","251,176",
"136","2023","Totals","30,393,385","61,622,584","431,975","92,447,944","76,015,246","243,655","76,258,901","16,189,043",
"142","2023","Fund","Proposed Tax Rate","Amount of Tax Levy","7.00% Reserve for Delinquency","Estimated Collection of Taxes",
"143","2023","General","$1.6924","9,554,608","668,823","8,885,785",
"144","2023","Highway/Public Works","$0.0571","322,364","22,565","299,798",
"145","2023","General Purpose School","$0.5666","3,198,795","223,916","2,974,879",
"146","2023","General Debt Service","$0.0163","92,023","6,442","85,582",
"147","2023","Total","$2.3324","13,167,790","921,746","12,246,045",
"118","2024","Fund","Estimated Beginning Fund Balance 7/1/2024","Estimated Revenue","Transfers In","Estimated Total Available Funds","Estimated Expenditures","Transfers Out","Total Appropriations","Estimated Ending Fund Balance 6/30/2025",
"119","2024","General","4,500,000","18,023,014","35,000","22,558,014","18,932,206","135,000","19,067,206","3,490,808",
"120","2024","Drug Control","95,000","53,000","0","148,000","115,000","0","115,000","33,000",
"121","2024","Adequate Facilities Tax","1,052,720","260,000","0","1,312,720","3,000","400,000","403,000","909,720",
"122","2024","American Rescue Plan(SLFRF)","2,640,000","575,921","0","3,215,921","3,046,361","0","3,046,361","169,560",
