"1","2021","101-56300-316","Hickman County Senior Citizens","10,000",
"2","2021","101-58900-316","Hickman County Chamber of Commerce","25,000",
"3","2021","101-58900-316","Women Are Safe","5,000",
"4","2021","101-58900-316","Pleasantville Volunteer Fire Dept.","10,000",
"5","2021","101-58900-316","Davis House Child Advocacy Center","10,000",
"6","2021","101-58900-316","East Hickman Volunteer Fire Dept.","30,000",
"7","2021","101-58900-316","Helping Hands","5,000",
"8","2021","101-58900-316","Hickman Humane Society","5,000",
"9","2021","101-58900-316","Shady Grove Community Center","10,000",
"10","2021","101-58900-316","Bernard Community Club, Inc.","5,000",
"11","2021","101-54420-316","Hickman County Rescue Squad","35,000",
"12","2021","","","$150,000",
"1","2022","The Nonprofit Appropriation Resolution","1",
"2","2022","The General Appropriation Resolution","4",
"3","2022","Summary Statement of Proposed Operation","10",
"4","2022","The Tax Levy Resolution","11",
"5","2022","Statement of Estimated Revenue From Current Property Taxes","13",
"6","2022","Fund 101-General Fund","14",
"7","2022","Fund 122-Drug Control Fund","34",
"8","2022","Fund 125-Adequate Facilities Tax Fund","35",
"9","2022","Fund 127-American Rescue Plan Act(SLFRF)","36",
"10","2022","Fund 131-Highway/Public Works Fund","37",
"11","2022","Fund 141-General Purpose School Fund","41",
"12","2022","Fund 143-Central Cafeteria Fund","51",
"13","2022","Fund 151-General Debt Service Fund","53",
"14","2022","Fund 207-Solid Waste Disposal Fund","56",
"15","2022","Hickman County Senior Citizens","10,000",
"16","2022","Hickman County Chamber of Commerce","25,000",
"17","2022","Women Are Safe","5,000",
"18","2022","Davis House Child Advocacy Center","10,000",
"19","2022","Helping Hands","5,000",
"20","2022","Hickman Humane Society","5,000",
"21","2022","Shady Grove Community Center","1,500",
"22","2022","Total","$61,500.00",
"23","2022","Pleasantville Volunteer Fire Dept.","10,000",
"24","2022","East Hickman Volunteer Fire Dept.","40,000",
"25","2022","Hickman County Rescue Squad","80,000",
"26","2022","Bucksnort Fire","10,000",
"27","2022","Centerville Volunteer Fire (SCBA Fill","Station) 10,000",
"28","2022","Totals","$150,000.00",
"1","2023","Hickman County Senior Citizens","10,000",
"2","2023","Hickman County Chamber of Commerce","25,000",
"3","2023","Women Are Safe","5,000",
"4","2023","Davis House Child Advocacy Center","10,000",
"5","2023","Hickman Humane Society","5,000",
"6","2023","Shady Grove Community Center","5,000",
"7","2023","Bernard Community Club, Inc.","5,000",
"8","2023","Total","$65,000.00",
"1","2024","Hickman County Senior Citizens","10,000",
"2","2024","Hickman County Chamber of Commerce","25,000",
"3","2024","Women Are Safe","5,000",
"4","2024","Davis House Child Advocacy Center","10,000",
"5","2024","Hickman Humane Society","5,000",
"6","2024","Total","$55,000.00",
"1","2025","Hickman County Senior Citizens","10,000",
"2","2025","Women Are Safe","8,000",
"3","2025","32nd Judicial District Child Advocacy Center","$29,900",
"4","2025","Total","$47,900.",
