"144","2021","General","1.99"
"145","2021","Highway/Public Works","0.07"
"146","2021","General Purpose Schools","0.72"
"147","2021","General Debt Service","0.02"
"148","2021","Total","2.80"
"169","2022","General","1.6724"
"170","2022","Highway/Public Works","0.0571"
"171","2022","General Purpose Schools","0.5866"
"172","2022","General Debt Service","0.0163"
"173","2022","Total","2.3324"
"137","2023","General","1.6924"
"138","2023","Highway/Public Works","0.0571"
"139","2023","General Purpose Schools","0.5666"
"140","2023","General Debt Service","0.0163"
"141","2023","Total","2.3324"
"129","2024","General","1.9300"
"130","2024","Highway/Public Works","0.0600"
"131","2024","General Purpose Schools","0.5800"
"132","2024","General Debt Service","0.0000"
"133","2024","Total","2.5700"
"130","2025","General","2.0800"
"131","2025","Highway/Public Works","0.0600"
"132","2025","General Purpose Schools","0.5200"
"133","2025","General Debt Service","$.0.0000"
"134","2025","Total","2.6600"
